etroc,lgad,chip,yellow_count,optical_noball_count,montage,xray,href,xray_missing_cells,bumpbond_missing_cells,bumpbond_positions,xray_missing_positions,min_dot_score,max_weak_z
W04F2-41,HPK-W3_6,41,4,0,/assets/montages/W04F2_data_chip_44.jpg,/assets/xray/4-41.jpg,hybrids/W04F2-41__HPK-W3_6.html,1,1,30,30,13.319,7.576
W04F2-45,HPK-W2_24,45,4,0,/assets/montages/W04F2_data_chip_45.jpg,/assets/xray/4-45.jpg,hybrids/W04F2-45__HPK-W2_24.html,0,0,,,14.788,3.202
W04F2-52,HPK-W3_1,52,5,1,/assets/montages/W04F2_data_chip_52.jpg,/assets/xray/4-52.jpg,hybrids/W04F2-52__HPK-W3_1.html,0,0,,,-1.168,1.301
W04F2-53,HPK-W3_2,53,19,0,/assets/montages/W04F2_data_chip_53.jpg,/assets/xray/4-53.jpg,hybrids/W04F2-53__HPK-W3_2.html,0,0,,,14.602,3.635
W04F2-54,HPK-W3_4,54,20,0,/assets/montages/W04F2_data_chip_54.jpg,/assets/xray/4-54.jpg,hybrids/W04F2-54__HPK-W3_4.html,0,0,,,14.743,3.792
W04F2-55,HPK-W3_5,55,7,0,/assets/montages/W04F2_data_chip_55.jpg,/assets/xray/4-55.jpg,hybrids/W04F2-55__HPK-W3_5.html,0,0,,,-1.265,1.799
W04F2-59,HPK-W2_23,59,2,0,/assets/montages/W04F2_data_chip_59.jpg,/assets/xray/4-59.jpg,hybrids/W04F2-59__HPK-W2_23.html,0,0,,,14.726,2.913
W04F2-60,HPK-W2_22,60,5,0,/assets/montages/W04F2_data_chip_60.jpg,/assets/xray/4-60.jpg,hybrids/W04F2-60__HPK-W2_22.html,0,0,,,12.708,6.779
W04F2-61,HPK-W2_21,61,5,0,/assets/montages/W04F2_data_chip_61.jpg,/assets/xray/4-61.jpg,hybrids/W04F2-61__HPK-W2_21.html,0,0,,,14.133,3.124
W04F2-25,FBK_LF-W14_21,25,9,0,/assets/montages/W04F2_data3_chip_25.jpg,/assets/xray/4-25.jpg,hybrids/W04F2-25__FBK_LF-W14_21.html,0,0,,,14.743,3.791
W04F2-26,FBK_LF-W14_22,26,8,0,/assets/montages/W04F2_data3_chip_26.jpg,/assets/xray/4-26.jpg,hybrids/W04F2-26__FBK_LF-W14_22.html,3,3,28;235;238,28;235;238,9.646,10.197
W04F2-27,FBK_LF-W14_23,27,8,0,/assets/montages/W04F2_data3_chip_27.jpg,/assets/xray/4-27.jpg,hybrids/W04F2-27__FBK_LF-W14_23.html,0,0,,,11.54,11.645
W04F2-28,FBK_LF-W14_24,28,12,0,/assets/montages/W04F2_data3_chip_28.jpg,/assets/xray/4-28.jpg,hybrids/W04F2-28__FBK_LF-W14_24.html,0,0,,,14.735,4.292
W04F2-33,FBK_LF-W14_20,33,6,0,/assets/montages/W04F2_data3_chip_33.jpg,/assets/xray/4-33.jpg,hybrids/W04F2-33__FBK_LF-W14_20.html,0,0,,,13.54,5.361
