sensor,tile_count,tile_width,tile_height,stride_x_px,stride_y_px,removed_overlap_x_px,removed_overlap_y_px,mean_h_ncc,mean_v_ncc,stitched_width,stitched_height,jpg_path,preview_path
HPK1/W2-1,256,778,629,266,266,512,363,0.7445,0.7561,4768,4619,stitched_panoramas_no_overlap_crop/HPK1__W2-1_stitched_no_overlap_crop.jpg,stitched_panoramas_no_overlap_crop/HPK1__W2-1_stitched_no_overlap_crop_preview.jpg
HPK1/W2-2,256,778,629,266,266,512,363,0.7307,0.7541,4768,4619,stitched_panoramas_no_overlap_crop/HPK1__W2-2_stitched_no_overlap_crop.jpg,stitched_panoramas_no_overlap_crop/HPK1__W2-2_stitched_no_overlap_crop_preview.jpg
HPK1/W3-3,256,778,629,266,266,512,363,0.7281,0.7417,4768,4619,stitched_panoramas_no_overlap_crop/HPK1__W3-3_stitched_no_overlap_crop.jpg,stitched_panoramas_no_overlap_crop/HPK1__W3-3_stitched_no_overlap_crop_preview.jpg
HPK1/W3-4,256,778,629,266,266,512,363,0.7516,0.7565,4768,4619,stitched_panoramas_no_overlap_crop/HPK1__W3-4_stitched_no_overlap_crop.jpg,stitched_panoramas_no_overlap_crop/HPK1__W3-4_stitched_no_overlap_crop_preview.jpg
HPK1/W3-5,256,778,629,266,266,512,363,0.754,0.7722,4768,4619,stitched_panoramas_no_overlap_crop/HPK1__W3-5_stitched_no_overlap_crop.jpg,stitched_panoramas_no_overlap_crop/HPK1__W3-5_stitched_no_overlap_crop_preview.jpg
HPK1/W3-6,256,778,629,266,266,512,363,0.7361,0.7496,4768,4619,stitched_panoramas_no_overlap_crop/HPK1__W3-6_stitched_no_overlap_crop.jpg,stitched_panoramas_no_overlap_crop/HPK1__W3-6_stitched_no_overlap_crop_preview.jpg
HPK1/W3-7,256,778,629,266,266,512,363,0.7415,0.7659,4768,4619,stitched_panoramas_no_overlap_crop/HPK1__W3-7_stitched_no_overlap_crop.jpg,stitched_panoramas_no_overlap_crop/HPK1__W3-7_stitched_no_overlap_crop_preview.jpg
HPK1/W3-8,256,778,629,266,266,512,363,0.7567,0.7608,4768,4619,stitched_panoramas_no_overlap_crop/HPK1__W3-8_stitched_no_overlap_crop.jpg,stitched_panoramas_no_overlap_crop/HPK1__W3-8_stitched_no_overlap_crop_preview.jpg
HPK3/W2-21,256,778,629,268,266,510,363,0.5797,0.5946,4798,4619,stitched_panoramas_no_overlap_crop/HPK3__W2-21_stitched_no_overlap_crop.jpg,stitched_panoramas_no_overlap_crop/HPK3__W2-21_stitched_no_overlap_crop_preview.jpg
HPK3/W2-22,256,778,629,268,266,510,363,0.5797,0.5843,4798,4619,stitched_panoramas_no_overlap_crop/HPK3__W2-22_stitched_no_overlap_crop.jpg,stitched_panoramas_no_overlap_crop/HPK3__W2-22_stitched_no_overlap_crop_preview.jpg
HPK3/W2-23,256,778,629,268,266,510,363,0.5765,0.5842,4798,4619,stitched_panoramas_no_overlap_crop/HPK3__W2-23_stitched_no_overlap_crop.jpg,stitched_panoramas_no_overlap_crop/HPK3__W2-23_stitched_no_overlap_crop_preview.jpg
HPK3/W2-24,256,778,629,268,266,510,363,0.52,0.5487,4798,4619,stitched_panoramas_no_overlap_crop/HPK3__W2-24_stitched_no_overlap_crop.jpg,stitched_panoramas_no_overlap_crop/HPK3__W2-24_stitched_no_overlap_crop_preview.jpg
HPK3/W3-1,256,778,629,268,266,510,363,0.531,0.5351,4798,4619,stitched_panoramas_no_overlap_crop/HPK3__W3-1_stitched_no_overlap_crop.jpg,stitched_panoramas_no_overlap_crop/HPK3__W3-1_stitched_no_overlap_crop_preview.jpg
HPK3/W3-2,256,778,629,268,266,510,363,0.5246,0.5467,4798,4619,stitched_panoramas_no_overlap_crop/HPK3__W3-2_stitched_no_overlap_crop.jpg,stitched_panoramas_no_overlap_crop/HPK3__W3-2_stitched_no_overlap_crop_preview.jpg
HPK3/W3-4,256,778,629,266,266,512,363,0.5928,0.5943,4768,4619,stitched_panoramas_no_overlap_crop/HPK3__W3-4_stitched_no_overlap_crop.jpg,stitched_panoramas_no_overlap_crop/HPK3__W3-4_stitched_no_overlap_crop_preview.jpg
HPK3/W3-5,256,778,629,268,266,510,363,0.5765,0.5652,4798,4619,stitched_panoramas_no_overlap_crop/HPK3__W3-5_stitched_no_overlap_crop.jpg,stitched_panoramas_no_overlap_crop/HPK3__W3-5_stitched_no_overlap_crop_preview.jpg
HPK3/W3-6,256,778,629,268,266,510,363,0.5642,0.5578,4798,4619,stitched_panoramas_no_overlap_crop/HPK3__W3-6_stitched_no_overlap_crop.jpg,stitched_panoramas_no_overlap_crop/HPK3__W3-6_stitched_no_overlap_crop_preview.jpg
LF1/W14-28,256,778,629,266,266,512,363,0.7897,0.7598,4768,4619,stitched_panoramas_no_overlap_crop/LF1__W14-28_stitched_no_overlap_crop.jpg,stitched_panoramas_no_overlap_crop/LF1__W14-28_stitched_no_overlap_crop_preview.jpg
LF1/W14-29,256,778,629,266,266,512,363,0.7825,0.7481,4768,4619,stitched_panoramas_no_overlap_crop/LF1__W14-29_stitched_no_overlap_crop.jpg,stitched_panoramas_no_overlap_crop/LF1__W14-29_stitched_no_overlap_crop_preview.jpg
LF1/W14-35,256,778,629,266,266,512,363,0.7858,0.7618,4768,4619,stitched_panoramas_no_overlap_crop/LF1__W14-35_stitched_no_overlap_crop.jpg,stitched_panoramas_no_overlap_crop/LF1__W14-35_stitched_no_overlap_crop_preview.jpg
LF1/W14-36,256,778,629,266,266,512,363,0.782,0.7498,4768,4619,stitched_panoramas_no_overlap_crop/LF1__W14-36_stitched_no_overlap_crop.jpg,stitched_panoramas_no_overlap_crop/LF1__W14-36_stitched_no_overlap_crop_preview.jpg
LF1/W14-37,256,778,629,266,266,512,363,0.7728,0.7512,4768,4619,stitched_panoramas_no_overlap_crop/LF1__W14-37_stitched_no_overlap_crop.jpg,stitched_panoramas_no_overlap_crop/LF1__W14-37_stitched_no_overlap_crop_preview.jpg
LF1/W14-38,256,778,629,266,266,512,363,0.779,0.7507,4768,4619,stitched_panoramas_no_overlap_crop/LF1__W14-38_stitched_no_overlap_crop.jpg,stitched_panoramas_no_overlap_crop/LF1__W14-38_stitched_no_overlap_crop_preview.jpg
LF1/W14-39,256,778,629,266,266,512,363,0.784,0.737,4768,4619,stitched_panoramas_no_overlap_crop/LF1__W14-39_stitched_no_overlap_crop.jpg,stitched_panoramas_no_overlap_crop/LF1__W14-39_stitched_no_overlap_crop_preview.jpg
LF1/W14-40,256,778,629,266,266,512,363,0.7935,0.7279,4768,4619,stitched_panoramas_no_overlap_crop/LF1__W14-40_stitched_no_overlap_crop.jpg,stitched_panoramas_no_overlap_crop/LF1__W14-40_stitched_no_overlap_crop_preview.jpg
LF1/W14-43,256,778,629,266,266,512,363,0.7773,0.7558,4768,4619,stitched_panoramas_no_overlap_crop/LF1__W14-43_stitched_no_overlap_crop.jpg,stitched_panoramas_no_overlap_crop/LF1__W14-43_stitched_no_overlap_crop_preview.jpg
LF2/W14-20,256,778,629,266,266,512,363,0.6878,0.7196,4768,4619,stitched_panoramas_no_overlap_crop/LF2__W14-20_stitched_no_overlap_crop.jpg,stitched_panoramas_no_overlap_crop/LF2__W14-20_stitched_no_overlap_crop_preview.jpg
LF2/W14-21,256,778,629,266,266,512,363,0.6286,0.681,4768,4619,stitched_panoramas_no_overlap_crop/LF2__W14-21_stitched_no_overlap_crop.jpg,stitched_panoramas_no_overlap_crop/LF2__W14-21_stitched_no_overlap_crop_preview.jpg
LF2/W14-22,256,778,629,266,266,512,363,0.7157,0.74,4768,4619,stitched_panoramas_no_overlap_crop/LF2__W14-22_stitched_no_overlap_crop.jpg,stitched_panoramas_no_overlap_crop/LF2__W14-22_stitched_no_overlap_crop_preview.jpg
LF2/W14-23,256,778,629,266,266,512,363,0.6246,0.6648,4768,4619,stitched_panoramas_no_overlap_crop/LF2__W14-23_stitched_no_overlap_crop.jpg,stitched_panoramas_no_overlap_crop/LF2__W14-23_stitched_no_overlap_crop_preview.jpg
LF2/W14-24,256,778,629,266,266,512,363,0.646,0.6903,4768,4619,stitched_panoramas_no_overlap_crop/LF2__W14-24_stitched_no_overlap_crop.jpg,stitched_panoramas_no_overlap_crop/LF2__W14-24_stitched_no_overlap_crop_preview.jpg
LF2/W14-30,256,778,629,266,266,512,363,0.7064,0.7407,4768,4619,stitched_panoramas_no_overlap_crop/LF2__W14-30_stitched_no_overlap_crop.jpg,stitched_panoramas_no_overlap_crop/LF2__W14-30_stitched_no_overlap_crop_preview.jpg
LF2/W14-32,256,778,629,266,266,512,363,0.6972,0.7263,4768,4619,stitched_panoramas_no_overlap_crop/LF2__W14-32_stitched_no_overlap_crop.jpg,stitched_panoramas_no_overlap_crop/LF2__W14-32_stitched_no_overlap_crop_preview.jpg
LF2/W14-33,256,778,629,266,266,512,363,0.6473,0.6771,4768,4619,stitched_panoramas_no_overlap_crop/LF2__W14-33_stitched_no_overlap_crop.jpg,stitched_panoramas_no_overlap_crop/LF2__W14-33_stitched_no_overlap_crop_preview.jpg
LF2/W14-34,256,778,629,266,266,512,363,0.7171,0.7463,4768,4619,stitched_panoramas_no_overlap_crop/LF2__W14-34_stitched_no_overlap_crop.jpg,stitched_panoramas_no_overlap_crop/LF2__W14-34_stitched_no_overlap_crop_preview.jpg
