LGAD ID,ETROC ID,연결 채널,비고
LF-LC2-K-UBM,W02G4-68,,solder bump missing: 6개 (optical inspection 기준); shear force test에 사용됨
LF-LC2-K-UBM,W02G4-50,,solder bump missing: 2개 (optical inspection 기준)
LF-LC2-K-UBM,W02G4-64,,solder bump missing: 2개 (optical inspection 기준)
LF-LC2-K-UBM,W02G4-66,,solder bump missing: 2개 (optical inspection 기준); shear force test에 사용됨
LF-LC2-K-UBM,W02G4-79,,solder bump missing: 2개 (optical inspection 기준)
HPK-W7-15,W03F7-75,,solder bump missing: 2개 (optical inspection 기준)
FBK-LF-W15-42,W02G4-51,,solder bump missing: 1개 (optical inspection 기준)
FBK-LF-W14-9,W02G4-67,,solder bump missing: 1개 (optical inspection 기준)
FBK-LF-W14-18,W02G4-78,,solder bump missing: 1개 (optical inspection 기준)
FBK-LF-W14-5,W02G4-80,,solder bump missing: 1개 (optical inspection 기준)
HPK-W7-18,W03F7-77,,solder bump missing: 1개 (optical inspection 기준)
HPK-W7-7,W05E5-64,,solder bump missing: 1개 (optical inspection 기준)
HPK-W7-5,W05E5-75,,solder bump missing: 1개 (optical inspection 기준)
FBK-LF-W15-35,W02G4-44,,solder bump missing: 0개 (optical inspection 기준)
FBK-LF-W14-3,W02G4-45,,solder bump missing: 0개 (optical inspection 기준)
FBK-LF-W14-4,W02G4-49,,solder bump missing: 0개 (optical inspection 기준)
FBK-LF-W15-43,W02G4-55,,solder bump missing: 0개 (optical inspection 기준)
FBK-LF-W14-2,W02G4-60,,solder bump missing: 0개 (optical inspection 기준)
FBK-LF-W14-1,W02G4-63,,solder bump missing: 0개 (optical inspection 기준)
FBK-LF-W14-8,W02G4-70,,solder bump missing: 0개 (optical inspection 기준)
FBK-LF-W14-6,W02G4-81,,solder bump missing: 0개 (optical inspection 기준)
FBK-LF-W14-7,W02G4-82,,solder bump missing: 0개 (optical inspection 기준)
HPK-W7-16,W03F7-76,,solder bump missing: 0개 (optical inspection 기준)
HPK-W7-19,W03F7-78,,solder bump missing: 0개 (optical inspection 기준)
HPK-W7-20,W03F7-79,,solder bump missing: 0개 (optical inspection 기준)
HPK-W7-22,W03F7-80,,solder bump missing: 0개 (optical inspection 기준)
HPK-W7-23,W03F7-81,,solder bump missing: 0개 (optical inspection 기준)
HPK-W7-24,W03F7-83,,solder bump missing: 0개 (optical inspection 기준)
,W03F7-85,,"solder bump missing: 0개 (optical inspection 기준); Not bump-bonded, excluded from bonded batch; retained in pre-bonding cohort"
HPK-W7-14,W05E5-24,,solder bump missing: 0개 (optical inspection 기준)
HPK-W7-4,W05E5-30,,solder bump missing: 0개 (optical inspection 기준)
HPK-W7-13,W05E5-36,,solder bump missing: 0개 (optical inspection 기준)
HPK-W7-12,W05E5-38,,solder bump missing: 0개 (optical inspection 기준)
HPK-W7-9,W05E5-39,,solder bump missing: 0개 (optical inspection 기준)
HPK-W7-8,W05E5-41,,solder bump missing: 0개 (optical inspection 기준)
HPK-W7-6,W05E5-68,,solder bump missing: 0개 (optical inspection 기준)
